date,home,away,tournament,pick,actual,pH,pD,pA,brier
2022-11-29,IRN,USA,FIFA World Cup,A,A,0.1375,0.2242,0.6384,0.1999
2022-11-30,KSA,MEX,FIFA World Cup,A,A,0.3473,0.2890,0.3637,0.6090
2022-11-30,TUN,FRA,FIFA World Cup,A,H,0.0112,0.0479,0.9410,1.8655
2022-12-01,JPN,ESP,FIFA World Cup,A,H,0.2452,0.2750,0.4797,0.8755
2022-12-01,CRO,BEL,FIFA World Cup,H,D,0.3839,0.2882,0.3278,0.7615
2022-12-01,CAN,MAR,FIFA World Cup,A,A,0.1329,0.2208,0.6463,0.1916
2022-12-02,GHA,URU,FIFA World Cup,A,A,0.1747,0.2473,0.5779,0.2699
2022-12-02,KOR,POR,FIFA World Cup,A,H,0.0555,0.1389,0.8056,1.5605
2022-12-03,NED,USA,FIFA World Cup,H,H,0.7074,0.1926,0.1000,0.1327
2022-12-03,ARG,AUS,FIFA World Cup,H,H,0.8392,0.1182,0.0426,0.0416
2022-12-04,ENG,SEN,FIFA World Cup,H,H,0.5732,0.2490,0.1779,0.2758
2022-12-05,JPN,CRO,FIFA World Cup,H,D,0.4442,0.2817,0.2741,0.7885
2022-12-05,BRA,KOR,FIFA World Cup,H,H,0.8656,0.1011,0.0333,0.0294
2022-12-06,MAR,ESP,FIFA World Cup,A,D,0.3051,0.2863,0.4086,0.7694
2022-12-06,POR,SUI,FIFA World Cup,H,H,0.4572,0.2795,0.2633,0.4421
2022-12-09,CRO,BRA,FIFA World Cup,A,D,0.0730,0.1628,0.7642,1.2903
2022-12-09,NED,ARG,FIFA World Cup,H,D,0.5120,0.2674,0.2206,0.8475
2022-12-10,MAR,POR,FIFA World Cup,A,H,0.1962,0.2577,0.5460,1.0106
2022-12-10,ENG,FRA,FIFA World Cup,A,A,0.3079,0.2866,0.4055,0.5304
2022-12-13,ARG,CRO,FIFA World Cup,H,H,0.5022,0.2699,0.2280,0.3726
2022-12-14,FRA,MAR,FIFA World Cup,H,H,0.4825,0.2744,0.2430,0.4021
2022-12-17,CRO,MAR,FIFA World Cup,A,H,0.2885,0.2841,0.4273,0.7695
2022-12-18,ARG,FRA,FIFA World Cup,A,D,0.3205,0.2877,0.3917,0.7635
2023-03-24,FRA,NED,UEFA Euro qualification,H,H,0.4201,0.2672,0.3126,0.5054
2023-03-24,SWE,BEL,UEFA Euro qualification,A,A,0.1930,0.2362,0.5708,0.2772
2023-03-25,ESP,NOR,UEFA Euro qualification,H,H,0.7406,0.1677,0.0918,0.1038
2023-03-25,CUW,CAN,CONCACAF Nations League,A,A,0.0836,0.1593,0.7571,0.0914
2023-03-28,SCO,ESP,UEFA Euro qualification,A,H,0.0633,0.1358,0.8009,1.5373
2023-03-28,TUR,CRO,UEFA Euro qualification,A,A,0.2286,0.2497,0.5217,0.3434
2023-06-14,NED,CRO,UEFA Nations League,H,A,0.5866,0.2312,0.1822,1.0665
2023-06-15,PAN,CAN,CONCACAF Nations League,A,A,0.1999,0.2593,0.5408,0.3180
2023-06-15,USA,MEX,CONCACAF Nations League,H,H,0.5454,0.2436,0.2110,0.3105
2023-06-17,NOR,SCO,UEFA Euro qualification,H,A,0.4680,0.2609,0.2712,0.8183
2023-06-17,BEL,AUT,UEFA Euro qualification,H,D,0.8043,0.1339,0.0618,1.4009
2023-06-17,POR,BIH,UEFA Euro qualification,H,H,0.9012,0.0741,0.0247,0.0159
2023-06-18,PAN,MEX,CONCACAF Nations League,A,A,0.1504,0.2330,0.6166,0.2239
2023-06-18,USA,CAN,CONCACAF Nations League,H,H,0.6192,0.2200,0.1608,0.2193
2023-06-18,CRO,ESP,UEFA Nations League,H,D,0.5898,0.2431,0.1671,0.9486
2023-06-20,AUT,SWE,UEFA Euro qualification,H,H,0.5629,0.2386,0.1985,0.2874
2023-06-20,UZB,IRN,CAFA Nations Cup,A,A,0.2421,0.2538,0.5041,0.3690
2023-06-25,HAI,QAT,Gold Cup,A,H,0.0570,0.1412,0.8018,1.5521
2023-06-29,HAI,MEX,Gold Cup,A,A,0.0269,0.0881,0.8850,0.0217
2023-07-02,MEX,QAT,Gold Cup,H,A,0.6838,0.2040,0.1122,1.2973
2023-07-08,PAN,QAT,Gold Cup,A,H,0.2631,0.2794,0.4575,0.8305
2023-07-09,USA,CAN,Gold Cup,H,D,0.7037,0.1853,0.1111,1.1713
2023-07-12,USA,PAN,Gold Cup,H,D,0.8270,0.1208,0.0522,1.4597
2023-07-16,MEX,PAN,Gold Cup,H,H,0.4630,0.2784,0.2586,0.4328
2023-09-07,ARG,ECU,FIFA World Cup qualification,H,H,0.7991,0.1368,0.0641,0.0632
2023-09-12,ECU,URU,FIFA World Cup qualification,H,H,0.4344,0.2657,0.2999,0.4805
2023-09-12,SWE,AUT,UEFA Euro qualification,A,A,0.2412,0.2536,0.5052,0.3673
2023-10-12,COL,URU,FIFA World Cup qualification,A,D,0.3549,0.2698,0.3753,0.7999
2023-10-12,ARG,PAR,FIFA World Cup qualification,H,H,0.9167,0.0636,0.0197,0.0114
2023-10-12,ESP,SCO,UEFA Euro qualification,H,H,0.6648,0.2022,0.1330,0.1709
2023-10-12,CRO,TUR,UEFA Euro qualification,H,A,0.8849,0.0849,0.0302,1.7309
2023-10-13,CUW,PAN,CONCACAF Nations League,A,A,0.1146,0.1882,0.6972,0.1403
2023-10-13,NED,FRA,UEFA Euro qualification,A,A,0.2011,0.2397,0.5593,0.2921
2023-10-13,AUT,BEL,UEFA Euro qualification,A,A,0.2834,0.2632,0.4534,0.4484
2023-10-15,NOR,ESP,UEFA Euro qualification,A,A,0.1264,0.1974,0.6762,0.1598
2023-10-16,BEL,SWE,UEFA Euro qualification,H,D,0.9344,0.0511,0.0145,1.7737
2023-10-16,BIH,POR,UEFA Euro qualification,A,A,0.0492,0.1165,0.8343,0.0435
2023-10-17,ECU,COL,FIFA World Cup qualification,H,D,0.6205,0.2195,0.1600,1.0198
2023-10-17,URU,BRA,FIFA World Cup qualification,A,H,0.0559,0.1260,0.8181,1.5764
2023-11-16,COL,BRA,FIFA World Cup qualification,A,H,0.0738,0.1485,0.7777,1.4847
2023-11-16,ARG,URU,FIFA World Cup qualification,H,A,0.7533,0.1613,0.0855,1.4298
2023-11-19,SCO,NOR,UEFA Euro qualification,H,D,0.5754,0.2348,0.1898,0.9526
2023-11-21,PAR,COL,FIFA World Cup qualification,A,A,0.2984,0.2655,0.4361,0.4776
2023-11-21,BRA,ARG,FIFA World Cup qualification,H,A,0.4803,0.2587,0.2610,0.8438
2023-11-21,UZB,IRN,FIFA World Cup qualification,A,D,0.1609,0.2200,0.6190,1.0174
2023-11-21,JOR,KSA,FIFA World Cup qualification,A,A,0.3206,0.2680,0.4113,0.5212
2024-01-19,IRQ,JPN,AFC Asian Cup,A,H,0.0116,0.0492,0.9392,1.8614
2024-01-20,JOR,KOR,AFC Asian Cup,A,D,0.1061,0.1984,0.6955,1.1375
2024-01-23,AUS,UZB,AFC Asian Cup,H,D,0.6356,0.2253,0.1390,1.0235
2024-01-29,IRQ,JOR,AFC Asian Cup,A,A,0.3315,0.2884,0.3800,0.5775
2024-01-30,KSA,KOR,AFC Asian Cup,A,D,0.3440,0.2889,0.3671,0.7588
2024-02-02,AUS,KOR,AFC Asian Cup,A,A,0.1988,0.2589,0.5423,0.3160
2024-02-03,IRN,JPN,AFC Asian Cup,A,H,0.1010,0.1936,0.7054,1.3433
2024-02-03,QAT,UZB,AFC Asian Cup,H,D,0.5141,0.2515,0.2343,0.8794
2024-02-06,JOR,KOR,AFC Asian Cup,A,H,0.1425,0.2277,0.6298,1.1838
2024-02-07,QAT,IRN,AFC Asian Cup,A,H,0.1661,0.2229,0.6110,1.1184
2024-02-10,QAT,JOR,AFC Asian Cup,A,H,0.2544,0.2571,0.4885,0.8607
2024-03-21,PAN,MEX,CONCACAF Nations League,A,A,0.2161,0.2657,0.5182,0.3495
2024-03-22,EGY,NZL,FIFA Series,H,H,0.3801,0.2697,0.3502,0.5797
2024-03-23,TUN,CRO,FIFA Series,A,D,0.0643,0.1514,0.7843,1.3393
2024-03-24,USA,MEX,CONCACAF Nations League,H,H,0.5340,0.2466,0.2194,0.3262
2024-03-26,ALG,RSA,FIFA Series,H,D,0.5719,0.2359,0.1922,0.9479
2024-03-26,EGY,CRO,FIFA Series,A,A,0.0822,0.1579,0.7599,0.0893
2024-03-26,NZL,TUN,FIFA Series,A,D,0.2572,0.2781,0.4647,0.8033
2024-06-06,SEN,COD,FIFA World Cup qualification,H,D,0.7064,0.1840,0.1096,1.1768
2024-06-11,IRN,UZB,FIFA World Cup qualification,H,D,0.7192,0.1781,0.1028,1.2033
2024-06-11,KSA,JOR,FIFA World Cup qualification,H,A,0.6455,0.2100,0.1445,1.1926
2024-06-14,GER,SCO,UEFA Euro,H,H,0.6108,0.2230,0.1662,0.2288
2024-06-15,ESP,CRO,UEFA Euro,A,H,0.3231,0.2879,0.3890,0.6925
2024-06-17,AUT,FRA,UEFA Euro,A,A,0.0229,0.0789,0.8983,0.0171
2024-06-18,POR,CZE,UEFA Euro,H,H,0.8621,0.1034,0.0345,0.0309
2024-06-19,SCO,SUI,UEFA Euro,A,D,0.1584,0.2380,0.6036,0.9700
2024-06-21,NED,FRA,UEFA Euro,A,D,0.0932,0.1858,0.7210,1.1915
2024-06-22,TUR,POR,UEFA Euro,A,A,0.0735,0.1634,0.7631,0.0882
2024-06-23,GER,SUI,UEFA Euro,H,D,0.4823,0.2583,0.2594,0.8500
2024-06-25,NED,AUT,UEFA Euro,H,A,0.6617,0.2141,0.1242,1.2507
2024-06-26,CZE,TUR,UEFA Euro,A,A,0.2431,0.2744,0.4825,0.4023
2024-07-01,FRA,BEL,UEFA Euro,H,H,0.7265,0.1830,0.0905,0.1165
2024-07-02,AUT,TUR,UEFA Euro,H,A,0.3980,0.2873,0.3148,0.7104
2024-07-05,GER,ESP,UEFA Euro,A,A,0.1986,0.2386,0.5627,0.2876
2024-07-05,POR,FRA,UEFA Euro,A,D,0.2248,0.2688,0.5063,0.8415
2024-07-06,ENG,SUI,UEFA Euro,H,D,0.5023,0.2698,0.2279,0.8374
2024-07-06,NED,TUR,UEFA Euro,H,H,0.4849,0.2739,0.2412,0.3985
2024-07-09,ESP,FRA,UEFA Euro,A,H,0.2026,0.2605,0.5369,0.9918
2024-07-10,NED,ENG,UEFA Euro,A,A,0.3506,0.2890,0.3605,0.6154
2024-07-14,ESP,ENG,UEFA Euro,H,H,0.5465,0.2576,0.1959,0.3104
2024-09-05,POR,CRO,UEFA Nations League,H,H,0.7277,0.1740,0.0984,0.1141
2024-09-06,URU,PAR,FIFA World Cup qualification,H,D,0.8703,0.0944,0.0354,1.5788
2024-09-06,BRA,ECU,FIFA World Cup qualification,H,H,0.6695,0.2003,0.1303,0.1663
2024-09-07,NED,BIH,UEFA Nations League,H,H,0.8592,0.1013,0.0395,0.0317
2024-09-08,POR,SCO,UEFA Nations League,H,H,0.9444,0.0439,0.0117,0.0052
2024-09-08,SUI,ESP,UEFA Nations League,A,A,0.1057,0.1807,0.7136,0.1258
2024-09-09,FRA,BEL,UEFA Nations League,H,H,0.7895,0.1421,0.0684,0.0692
2024-09-09,NOR,AUT,UEFA Nations League,A,H,0.2948,0.2650,0.4402,0.7612
2024-09-10,NED,GER,UEFA Nations League,H,D,0.6003,0.2266,0.1730,0.9884
2024-09-10,COL,ARG,FIFA World Cup qualification,A,H,0.1704,0.2253,0.6043,1.1042
2024-09-10,PAR,BRA,FIFA World Cup qualification,A,H,0.0945,0.1703,0.7352,1.3896
2024-10-10,ECU,PAR,FIFA World Cup qualification,H,D,0.5398,0.2451,0.2151,0.9075
2024-10-10,UZB,IRN,FIFA World Cup qualification,A,D,0.2485,0.2556,0.4959,0.8619
2024-10-10,JOR,KOR,FIFA World Cup qualification,H,A,0.4007,0.2688,0.3305,0.6810
2024-10-10,KSA,JPN,FIFA World Cup qualification,A,A,0.2365,0.2522,0.5113,0.3584
2024-10-11,BIH,GER,UEFA Nations League,A,A,0.1276,0.1984,0.6740,0.1619
2024-10-12,CRO,SCO,UEFA Nations League,H,H,0.7533,0.1613,0.0855,0.0942
2024-10-13,AUT,NOR,UEFA Nations League,H,H,0.4870,0.2574,0.2556,0.3948
2024-10-14,BEL,FRA,UEFA Nations League,A,A,0.1103,0.1846,0.7051,0.1332
2024-10-14,GER,NED,UEFA Nations League,H,H,0.3850,0.2696,0.3455,0.5703
2024-10-15,SCO,POR,UEFA Nations League,A,D,0.0265,0.0778,0.8957,1.6533
2024-10-15,URU,ECU,FIFA World Cup qualification,H,D,0.6831,0.1944,0.1224,1.1306
2024-10-15,IRN,QAT,FIFA World Cup qualification,H,H,0.4090,0.2863,0.3047,0.5241
2024-10-15,KOR,IRQ,FIFA World Cup qualification,H,H,0.8252,0.1219,0.0529,0.0482
2024-10-15,JPN,AUS,FIFA World Cup qualification,H,D,0.8488,0.1077,0.0435,1.5185
2024-11-14,PAR,ARG,FIFA World Cup qualification,A,H,0.1350,0.2037,0.6613,1.2270
2024-11-14,QAT,UZB,FIFA World Cup qualification,H,H,0.4978,0.2552,0.2470,0.3783
2024-11-14,IRQ,JOR,FIFA World Cup qualification,A,D,0.2790,0.2624,0.4586,0.8322
2024-11-14,AUS,KSA,FIFA World Cup qualification,H,D,0.4305,0.2662,0.3033,0.8159
2024-11-15,SCO,CRO,UEFA Nations League,A,H,0.1642,0.2219,0.6139,1.1246
2024-11-15,URU,COL,FIFA World Cup qualification,H,H,0.5032,0.2540,0.2428,0.3703
2024-11-16,GER,BIH,UEFA Nations League,H,H,0.8909,0.0810,0.0281,0.0193
2024-11-18,CRO,POR,UEFA Nations League,A,D,0.1451,0.2104,0.6444,1.0598
2024-11-18,ESP,SUI,UEFA Nations League,H,H,0.9142,0.0653,0.0205,0.0121
2024-11-19,BIH,NED,UEFA Nations League,A,D,0.0716,0.1459,0.7825,1.3469
2024-11-19,COL,ECU,FIFA World Cup qualification,H,A,0.5202,0.2501,0.2297,0.9265
2024-11-19,BRA,URU,FIFA World Cup qualification,H,D,0.4194,0.2673,0.3133,0.8109
2025-03-20,CAN,MEX,CONCACAF Nations League,A,A,0.3475,0.2890,0.3636,0.6093
2025-03-20,USA,PAN,CONCACAF Nations League,H,A,0.8626,0.0992,0.0382,1.6790
2025-03-20,CRO,FRA,UEFA Nations League,A,H,0.0864,0.1622,0.7514,1.4256
2025-03-20,NED,ESP,UEFA Nations League,A,D,0.0690,0.1428,0.7882,1.3609
2025-03-20,BRA,COL,FIFA World Cup qualification,H,H,0.6235,0.2184,0.1581,0.2144
2025-03-21,URU,ARG,FIFA World Cup qualification,H,A,0.4499,0.2637,0.2864,0.7812
2025-03-23,USA,CAN,CONCACAF Nations League,H,A,0.6335,0.2147,0.1518,1.1668
2025-03-23,PAN,MEX,CONCACAF Nations League,A,A,0.1604,0.2392,0.6004,0.2426
2025-03-23,FRA,CRO,UEFA Nations League,H,H,0.6724,0.1990,0.1285,0.1634
2025-03-23,ESP,NED,UEFA Nations League,H,D,0.8611,0.1001,0.0388,1.5527
2025-03-25,COL,PAR,FIFA World Cup qualification,H,D,0.4166,0.2676,0.3158,0.8098
2025-03-25,ARG,BRA,FIFA World Cup qualification,H,H,0.5341,0.2466,0.2193,0.3260
2025-03-25,IRN,UZB,FIFA World Cup qualification,H,D,0.7691,0.1531,0.0778,1.3149
2025-03-25,KOR,JOR,FIFA World Cup qualification,H,D,0.7111,0.1818,0.1071,1.1866
2025-03-25,JPN,KSA,FIFA World Cup qualification,H,D,0.7652,0.1551,0.0797,1.3058
2025-06-04,GER,POR,UEFA Nations League,A,A,0.1999,0.2392,0.5609,0.2900
2025-06-05,ESP,FRA,UEFA Nations League,H,H,0.3775,0.2885,0.3340,0.5823
2025-06-05,ECU,BRA,FIFA World Cup qualification,H,D,0.3813,0.2697,0.3490,0.8006
2025-06-05,PAR,URU,FIFA World Cup qualification,A,H,0.3036,0.2662,0.4302,0.7409
2025-06-05,QAT,IRN,FIFA World Cup qualification,A,H,0.2818,0.2629,0.4553,0.7922
2025-06-05,IRQ,KOR,FIFA World Cup qualification,A,A,0.1143,0.1879,0.6978,0.1397
2025-06-05,AUS,JPN,FIFA World Cup qualification,A,H,0.1563,0.2174,0.6263,1.1514
2025-06-08,GER,FRA,UEFA Nations League,A,A,0.1616,0.2204,0.6180,0.2206
2025-06-08,POR,ESP,UEFA Nations League,A,D,0.2783,0.2825,0.4392,0.7853
2025-06-09,CRO,CZE,FIFA World Cup qualification,H,H,0.8573,0.1025,0.0402,0.0325
2025-06-10,ARG,COL,FIFA World Cup qualification,H,D,0.8192,0.1254,0.0555,1.4391
2025-06-10,BRA,PAR,FIFA World Cup qualification,H,H,0.5091,0.2527,0.2382,0.3615
2025-06-10,UZB,QAT,FIFA World Cup qualification,A,H,0.3000,0.2657,0.4343,0.7493
2025-06-10,JOR,IRQ,FIFA World Cup qualification,H,A,0.7120,0.1814,0.1066,1.3379
2025-06-10,KSA,AUS,FIFA World Cup qualification,H,A,0.4521,0.2634,0.2846,0.7856
2025-06-10,HAI,CUW,FIFA World Cup qualification,H,A,0.3811,0.2884,0.3306,0.6765
2025-06-15,HAI,KSA,Gold Cup,A,A,0.0383,0.1106,0.8511,0.0359
2025-06-19,USA,KSA,Gold Cup,H,H,0.6393,0.2125,0.1483,0.1973
2025-06-21,CUW,CAN,Gold Cup,A,D,0.0381,0.1102,0.8517,1.5186
2025-06-22,USA,HAI,Gold Cup,H,H,0.9837,0.0138,0.0025,0.0005
2025-06-28,MEX,KSA,Gold Cup,H,H,0.6794,0.2061,0.1146,0.1584
2025-07-06,USA,MEX,Gold Cup,A,A,0.3142,0.2674,0.4184,0.5085
2025-09-04,PAR,ECU,FIFA World Cup qualification,H,D,0.4231,0.2669,0.3100,0.8125
2025-09-07,TUR,ESP,FIFA World Cup qualification,A,A,0.0453,0.1106,0.8441,0.0386
2025-09-09,ECU,ARG,FIFA World Cup qualification,A,H,0.2319,0.2508,0.5173,0.9205
2025-09-09,COD,SEN,FIFA World Cup qualification,A,A,0.2588,0.2581,0.4831,0.4008
2025-09-09,BIH,AUT,FIFA World Cup qualification,A,A,0.1506,0.2139,0.6355,0.2013
2025-10-09,CZE,CRO,FIFA World Cup qualification,A,D,0.0699,0.1439,0.7863,1.3561
2025-10-10,SWE,SUI,FIFA World Cup qualification,A,A,0.1518,0.2146,0.6336,0.2033
2025-10-14,KSA,IRQ,FIFA World Cup qualification,H,D,0.5530,0.2415,0.2055,0.9235
2025-11-15,SUI,SWE,FIFA World Cup qualification,H,H,0.8708,0.0940,0.0352,0.0268
2025-11-18,ESP,TUR,FIFA World Cup qualification,H,D,0.9635,0.0296,0.0069,1.8701
2025-11-18,AUT,BIH,FIFA World Cup qualification,H,D,0.8432,0.1111,0.0457,1.5032
2026-03-31,AUS,CUW,FIFA Series,H,H,0.8616,0.0998,0.0386,0.0306
