date,home,away,tournament,pick,actual,pH,pD,pA,brier
2019-01-28,IRN,JPN,AFC Asian Cup,A,A,0.2216,0.2677,0.5106,0.3603
2019-02-01,JPN,QAT,AFC Asian Cup,H,A,0.5956,0.2410,0.1634,1.1128
2019-03-22,ENG,CZE,UEFA Euro qualification,H,H,0.9450,0.0435,0.0116,0.0051
2019-03-23,ESP,NOR,UEFA Euro qualification,H,H,0.8535,0.1048,0.0416,0.0342
2019-03-24,NED,GER,UEFA Euro qualification,H,A,0.7624,0.1566,0.0810,1.4503
2019-03-26,NOR,SWE,UEFA Euro qualification,H,D,0.4245,0.2668,0.3087,0.8131
2019-06-05,POR,SUI,UEFA Nations League,H,H,0.5479,0.2429,0.2092,0.3072
2019-06-06,ENG,NED,UEFA Nations League,H,A,0.3845,0.2882,0.3273,0.6835
2019-06-08,TUR,FRA,UEFA Euro qualification,A,H,0.0218,0.0680,0.9102,1.7901
2019-06-09,SUI,ENG,UEFA Nations League,A,D,0.2212,0.2676,0.5113,0.8468
2019-06-09,POR,NED,UEFA Nations League,A,H,0.3348,0.2690,0.3962,0.6718
2019-06-10,ESP,SWE,UEFA Euro qualification,H,H,0.8520,0.1058,0.0422,0.0349
2019-06-11,BEL,SCO,UEFA Euro qualification,H,H,0.8943,0.0787,0.0270,0.0181
2019-06-19,MEX,CAN,Gold Cup,H,H,0.4136,0.2858,0.3006,0.5159
2019-06-26,USA,PAN,Gold Cup,H,H,0.8037,0.1342,0.0621,0.0604
2019-06-29,HAI,CAN,Gold Cup,A,H,0.0618,0.1481,0.7901,1.5263
2019-06-30,USA,CUW,Gold Cup,H,H,0.9631,0.0299,0.0070,0.0023
2019-07-02,HAI,MEX,Gold Cup,A,A,0.0306,0.0957,0.8737,0.0261
2019-07-07,USA,MEX,Gold Cup,H,A,0.4744,0.2598,0.2659,0.8314
2019-09-06,GER,NED,UEFA Euro qualification,A,A,0.2746,0.2616,0.4638,0.4313
2019-09-07,CUW,HAI,CONCACAF Nations League,H,H,0.3869,0.2695,0.3436,0.5666
2019-09-08,SWE,NOR,UEFA Euro qualification,H,D,0.4633,0.2616,0.2750,0.8355
2019-09-09,SCO,BEL,UEFA Euro qualification,A,A,0.0527,0.1215,0.8259,0.0479
2019-09-10,HAI,CUW,CONCACAF Nations League,H,D,0.4042,0.2685,0.3272,0.8055
2019-10-11,CZE,ENG,UEFA Euro qualification,A,H,0.0504,0.1183,0.8313,1.6067
2019-10-12,NOR,ESP,UEFA Euro qualification,A,D,0.0728,0.1473,0.7799,1.3406
2019-10-14,FRA,TUR,UEFA Euro qualification,H,D,0.8344,0.1164,0.0492,1.4794
2019-10-15,SWE,ESP,UEFA Euro qualification,A,D,0.0766,0.1517,0.7717,1.3211
2019-10-15,CAN,USA,CONCACAF Nations League,A,H,0.1892,0.2345,0.5763,1.0444
2019-10-15,MEX,PAN,CONCACAF Nations League,H,H,0.8642,0.0982,0.0376,0.0295
2019-11-14,JOR,AUS,FIFA World Cup qualification,H,A,0.4326,0.2659,0.3015,0.7458
2019-11-14,IRQ,IRN,FIFA World Cup qualification,A,H,0.1679,0.2436,0.5885,1.0980
2019-11-14,UZB,KSA,FIFA World Cup qualification,H,A,0.5948,0.2285,0.1767,1.0838
2019-11-15,USA,CAN,CONCACAF Nations League,H,H,0.5321,0.2471,0.2208,0.3288
2019-11-15,PAN,MEX,CONCACAF Nations League,A,A,0.0703,0.1444,0.7854,0.0718
